cod;nome;período;homicidios-de-homens-por-armas-de-fogo;homicidios;homicidios-de-jovens;homicidios-de-jovens-homens;homicidios-mulheres-nao-negras;homicidios-homens-nao-negros;homicidio-de-jovens-por-armas-de-fogo;homicidios-negros;homicidios-mulheres;homicidios-nao-negros;homicidios-mulheres-negras;homicidios-homens;homicidios-de-mulheres-por-armas-de-fogo;homicidios-por-armas-de-fogo;homicidios-de-jovens-mulheres;homicidios-homens-negros
13;AM;1989;136.0;321.0;161.0;141;;;82.0;;31.0;;;289.0;9.0;146;20;
29;BA;1989;562.0;1086.0;574.0;527;;;327.0;;80.0;;;1000.0;23.0;591;46;
23;CE;1989;203.0;607.0;299.0;286;;;121.0;;47.0;;;560.0;13.0;216;13;
53;DF;1989;177.0;331.0;185.0;177;;;116.0;;23.0;;;308.0;5.0;182;8;
32;ES;1989;361.0;845.0;349.0;320;;;180.0;;75.0;;;763.0;29.0;395;29;
52;GO;1989;426.0;810.0;344.0;302;;;223.0;;91.0;;;717.0;44.0;471;41;
21;MA;1989;166.0;411.0;174.0;160;;;82.0;;28.0;;;382.0;10.0;176;13;
51;MT;1989;199.0;471.0;180.0;165;;;82.0;;31.0;;;440.0;8.0;207;15;
50;MS;1989;175.0;371.0;168.0;147;;;95.0;;39.0;;;330.0;20.0;197;21;
31;MG;1989;384.0;1216.0;546.0;479;;;223.0;;168.0;;;1047.0;47.0;432;67;
15;PA;1989;328.0;666.0;303.0;276;;;165.0;;51.0;;;615.0;28.0;356;27;
25;PB;1989;201.0;461.0;193.0;169;;;102.0;;52.0;;;409.0;21.0;222;24;
41;PR;1989;457.0;1112.0;501.0;455;;;255.0;;105.0;;;1004.0;39.0;498;45;
12;AC;1989;45.0;95.0;56.0;52;;;28.0;;6.0;;;89.0;3.0;48;4;
17;TO;1989;30.0;63.0;22.0;15;;;13.0;;14.0;;;49.0;6.0;36;7;
28;SE;1989;66.0;139.0;64.0;59;;;3946.0;;15.0;;;124.0;5.0;71;5;
35;SP;1989;2668.0;9179.0;5522.0;5186;;;1821.0;;671.0;;;8508.0;154.0;2822;336;
42;SC;1989;142.0;354.0;168.0;153;;;82.0;;39.0;;;315.0;15.0;157;15;
14;RR;1989;1.0;113.0;61.0;53;;;1.0;;12.0;;;100.0;0.0;1;8;
11;RO;1989;260.0;490.0;188.0;161;;;114.0;;47.0;;;443.0;25.0;285;27;
43;RS;1989;755.0;1561.0;806.0;744;;;447.0;;142.0;;;1419.0;41.0;796;62;
24;RN;1989;121.0;236.0;113.0;108;;;69.0;;14.0;;;222.0;3.0;124;5;
33;RJ;1989;2772.0;4290.0;2310.0;2170;;;1722.0;;304.0;;;3980.0;167.0;2942;140;
22;PI;1989;53.0;142.0;68.0;60;;;30.0;;17.0;;;125.0;7.0;60;8;
26;PE;1989;1607.0;2553.0;1326.0;1235;;;943.0;;173.0;;;2379.0;91.0;1698;90;
27;AL;1989;310.0;805.0;339.0;310;;;143.0;;66.0;;;739.0;21.0;331;29;
16;AP;1989;19.0;39.0;29.0;27;;;13.0;;3.0;;;36.0;1.0;20;2;
24;RN;1990;108.0;200.0;92.0;85;;;58.0;;20.0;;;180.0;9.0;117;7;
43;RS;1990;917.0;1704.0;886.0;826;;;551.0;;157.0;;;1547.0;81.0;998;60;
11;RO;1990;278.0;555.0;223.0;202;;;130.0;;37.0;;;517.0;14.0;293;21;
14;RR;1990;8.0;127.0;63.0;52;;;3.0;;20.0;;;107.0;1.0;9;11;
42;SC;1990;150.0;388.0;158.0;140;;;77.0;;46.0;;;341.0;17.0;167;18;
35;SP;1990;2784.0;9503.0;5640.0;5300;;;1861.0;;679.0;;;8824.0;185.0;2969;340;
28;SE;1990;69.0;151.0;88.0;80;;;5488.0;;13.0;;;138.0;6.0;75;8;
17;TO;1990;21.0;54.0;22.0;19;;;10.0;;7.0;;;47.0;4.0;25;3;
25;PB;1990;206.0;440.0;185.0;172;;;95.0;;41.0;;;399.0;18.0;224;13;
26;PE;1990;1616.0;2742.0;1377.0;1275;;;955.0;;219.0;;;2522.0;111.0;1728;101;
41;PR;1990;488.0;1167.0;537.0;483;;;279.0;;125.0;;;1041.0;50.0;538;54;
15;PA;1990;424.0;748.0;376.0;337;;;242.0;;78.0;;;669.0;35.0;459;39;
31;MG;1990;444.0;1178.0;520.0;457;;;240.0;;148.0;;;1029.0;50.0;494;63;
50;MS;1990;146.0;348.0;156.0;137;;;72.0;;40.0;;;306.0;16.0;162;19;
51;MT;1990;164.0;415.0;155.0;139;;;66.0;;39.0;;;376.0;16.0;180;16;
21;MA;1990;180.0;442.0;199.0;182;;;86.0;;32.0;;;410.0;14.0;194;17;
52;GO;1990;349.0;681.0;309.0;277;;;180.0;;58.0;;;620.0;29.0;380;32;
32;ES;1990;382.0;881.0;384.0;344;;;215.0;;88.0;;;791.0;37.0;419;40;
53;DF;1990;259.0;463.0;251.0;234;;;159.0;;40.0;;;423.0;19.0;278;17;
23;CE;1990;219.0;555.0;253.0;230;;;126.0;;45.0;;;510.0;23.0;242;23;
29;BA;1990;486.0;867.0;437.0;406;;;289.0;;77.0;;;782.0;31.0;523;30;
13;AM;1990;184.0;367.0;207.0;193;;;119.0;;31.0;;;332.0;14.0;201;14;
16;AP;1990;14.0;46.0;22.0;18;;;11.0;;5.0;;;40.0;2.0;17;3;
27;AL;1990;261.0;719.0;284.0;263;;;116.0;;55.0;;;663.0;12.0;273;20;
12;AC;1990;29.0;64.0;33.0;29;;;18.0;;6.0;;;58.0;4.0;33;4;
33;RJ;1990;5236.0;7101.0;3833.0;3616;;;3172.0;;477.0;;;6614.0;312.0;5557;215;
22;PI;1990;32.0;109.0;52.0;50;;;16.0;;5.0;;;104.0;1.0;33;2;
15;PA;1991;448.0;810.0;380.0;344;;;232.0;;72.0;;;737.0;42.0;491;36;
31;MG;1991;472.0;1232.0;541.0;480;;;269.0;;159.0;;;1071.0;43.0;516;60;
50;MS;1991;191.0;388.0;167.0;142;;;106.0;;47.0;;;338.0;24.0;218;24;
51;MT;1991;201.0;452.0;172.0;146;;;98.0;;49.0;;;403.0;26.0;227;26;
21;MA;1991;182.0;470.0;227.0;200;;;118.0;;54.0;;;416.0;21.0;203;27;
52;GO;1991;396.0;852.0;397.0;346;;;222.0;;110.0;;;741.0;44.0;440;51;
32;ES;1991;440.0;968.0;413.0;377;;;229.0;;95.0;;;872.0;32.0;473;36;
53;DF;1991;291.0;489.0;293.0;272;;;209.0;;52.0;;;437.0;23.0;314;21;
23;CE;1991;227.0;607.0;303.0;281;;;139.0;;53.0;;;554.0;15.0;242;22;
29;BA;1991;245.0;596.0;266.0;236;;;128.0;;64.0;;;528.0;20.0;266;29;
13;AM;1991;222.0;403.0;241.0;231;;;141.0;;18.0;;;384.0;11.0;233;10;
16;AP;1991;17.0;54.0;30.0;28;;;9.0;;5.0;;;49.0;2.0;19;2;
27;AL;1991;234.0;665.0;239.0;219;;;99.0;;67.0;;;590.0;18.0;257;19;
12;AC;1991;56.0;106.0;59.0;53;;;38.0;;9.0;;;97.0;7.0;63;6;
26;PE;1991;1878.0;2944.0;1426.0;1325;;;1046.0;;232.0;;;2706.0;125.0;2008;100;
22;PI;1991;28.0;103.0;43.0;37;;;15.0;;11.0;;;92.0;3.0;31;6;
33;RJ;1991;3736.0;5055.0;2640.0;2484;;;2207.0;;370.0;;;4672.0;235.0;3979;154;
24;RN;1991;103.0;219.0;119.0;110;;;65.0;;17.0;;;202.0;6.0;109;9;
43;RS;1991;1031.0;1694.0;823.0;755;;;573.0;;156.0;;;1538.0;86.0;1117;68;
11;RO;1991;247.0;491.0;196.0;184;;;108.0;;33.0;;;455.0;17.0;265;11;
14;RR;1991;15.0;79.0;33.0;28;;;9.0;;9.0;;;70.0;3.0;18;5;
42;SC;1991;148.0;355.0;147.0;131;;;82.0;;38.0;;;317.0;17.0;165;16;
35;SP;1991;2912.0;9685.0;5601.0;5227;;;1972.0;;789.0;;;8896.0;226.0;3138;374;
28;SE;1991;168.0;317.0;131.0;118;;;4677.0;;21.0;;;287.0;8.0;179;13;
17;TO;1991;43.0;92.0;33.0;30;;;17.0;;9.0;;;83.0;3.0;46;3;
41;PR;1991;510.0;1225.0;519.0;459;;;266.0;;149.0;;;1073.0;52.0;562;60;
25;PB;1991;158.0;401.0;183.0;170;;;79.0;;40.0;;;361.0;22.0;180;13;
16;AP;1992;35.0;73.0;43.0;41;;;24.0;;4.0;;;69.0;3.0;38;2;
12;AC;1992;46.0;107.0;61.0;51;;;34.0;;13.0;;;94.0;7.0;53;10;
27;AL;1992;267.0;591.0;243.0;219;;;131.0;;53.0;;;538.0;17.0;284;24;
13;AM;1992;157.0;351.0;178.0;170;;;81.0;;26.0;;;321.0;7.0;168;8;
29;BA;1992;401.0;840.0;405.0;369;;;237.0;;79.0;;;758.0;26.0;428;36;
23;CE;1992;187.0;537.0;265.0;244;;;102.0;;42.0;;;493.0;14.0;202;20;
53;DF;1992;255.0;424.0;245.0;231;;;172.0;;40.0;;;384.0;16.0;271;14;
32;ES;1992;349.0;839.0;361.0;322;;;196.0;;85.0;;;751.0;31.0;381;39;
52;GO;1992;361.0;828.0;340.0;288;;;189.0;;125.0;;;703.0;56.0;417;52;
21;MA;1992;192.0;427.0;162.0;149;;;74.0;;30.0;;;395.0;15.0;209;13;
51;MT;1992;144.0;355.0;144.0;126;;;70.0;;35.0;;;316.0;11.0;158;17;
50;MS;1992;206.0;423.0;181.0;153;;;107.0;;58.0;;;365.0;29.0;235;28;
31;MG;1992;435.0;1131.0;481.0;418;;;231.0;;154.0;;;972.0;51.0;488;62;
15;PA;1992;436.0;759.0;353.0;325;;;221.0;;56.0;;;701.0;31.0;468;27;
25;PB;1992;194.0;355.0;165.0;150;;;101.0;;36.0;;;319.0;24.0;218;15;
41;PR;1992;507.0;1092.0;486.0;440;;;269.0;;116.0;;;971.0;47.0;554;42;
26;PE;1992;1621.0;2531.0;1093.0;1013;;;794.0;;171.0;;;2352.0;93.0;1719;75;
22;PI;1992;28.0;92.0;41.0;37;;;15.0;;10.0;;;82.0;2.0;30;4;
33;RJ;1992;3358.0;4536.0;2257.0;2132;;;1896.0;;319.0;;;4212.0;219.0;3580;125;
24;RN;1992;101.0;199.0;92.0;85;;;57.0;;15.0;;;184.0;9.0;110;7;
43;RS;1992;934.0;1570.0;740.0;678;;;516.0;;161.0;;;1409.0;101.0;1035;62;
11;RO;1992;215.0;395.0;140.0;121;;;89.0;;35.0;;;360.0;14.0;229;19;
14;RR;1992;47.0;95.0;47.0;43;;;23.0;;9.0;;;86.0;5.0;52;4;
42;SC;1992;141.0;361.0;157.0;145;;;74.0;;50.0;;;311.0;10.0;151;12;
35;SP;1992;2794.0;9116.0;5285.0;5002;;;1841.0;;644.0;;;8472.0;161.0;2955;283;
28;SE;1992;295.0;461.0;212.0;199;;;4164.0;;28.0;;;420.0;7.0;312;9;
17;TO;1992;37.0;67.0;23.0;21;;;14.0;;5.0;;;60.0;3.0;40;2;
27;AL;1993;322.0;619.0;238.0;223;;;147.0;;50.0;;;569.0;29.0;351;15;
12;AC;1993;55.0;116.0;66.0;62;;;36.0;;12.0;;;101.0;5.0;61;3;
16;AP;1993;37.0;66.0;36.0;34;;;26.0;;5.0;;;61.0;2.0;39;2;
13;AM;1993;161.0;350.0;186.0;169;;;96.0;;33.0;;;316.0;10.0;172;17;
29;BA;1993;945.0;1503.0;825.0;775;;;618.0;;120.0;;;1364.0;54.0;1013;46;
23;CE;1993;249.0;702.0;360.0;330;;;164.0;;61.0;;;640.0;21.0;270;30;
53;DF;1993;335.0;553.0;319.0;296;;;234.0;;49.0;;;503.0;27.0;362;23;
32;ES;1993;522.0;1098.0;516.0;466;;;295.0;;101.0;;;995.0;33.0;555;50;
52;GO;1993;327.0;734.0;317.0;266;;;188.0;;96.0;;;636.0;47.0;375;51;
21;MA;1993;161.0;394.0;165.0;150;;;68.0;;33.0;;;359.0;10.0;173;15;
51;MT;1993;159.0;356.0;158.0;138;;;81.0;;31.0;;;325.0;11.0;170;20;
50;MS;1993;236.0;457.0;180.0;165;;;113.0;;39.0;;;413.0;18.0;257;14;
31;MG;1993;466.0;1211.0;533.0;472;;;281.0;;181.0;;;1028.0;68.0;535;61;
15;PA;1993;345.0;623.0;290.0;269;;;169.0;;46.0;;;577.0;20.0;365;21;
25;PB;1993;192.0;365.0;168.0;157;;;94.0;;26.0;;;337.0;13.0;205;10;
41;PR;1993;586.0;1237.0;567.0;505;;;320.0;;138.0;;;1099.0;53.0;639;62;
26;PE;1993;1774.0;2763.0;1416.0;1318;;;1090.0;;218.0;;;2543.0;118.0;1893;96;
22;PI;1993;26.0;117.0;55.0;47;;;19.0;;13.0;;;104.0;4.0;30;8;
33;RJ;1993;4062.0;5367.0;2557.0;2431;;;2197.0;;381.0;;;4972.0;256.0;4326;124;
24;RN;1993;137.0;243.0;128.0;119;;;81.0;;21.0;;;222.0;14.0;151;9;
43;RS;1993;637.0;1177.0;565.0;516;;;369.0;;113.0;;;1064.0;50.0;687;49;
11;RO;1993;256.0;498.0;208.0;183;;;125.0;;55.0;;;439.0;24.0;280;23;
14;RR;1993;39.0;69.0;26.0;22;;;16.0;;4.0;;;63.0;3.0;43;3;
42;SC;1993;163.0;371.0;159.0;146;;;81.0;;34.0;;;337.0;12.0;175;13;
35;SP;1993;3451.0;9224.0;5183.0;4858;;;2304.0;;726.0;;;8498.0;232.0;3683;325;
28;SE;1993;155.0;312.0;159.0;151;;;5077.0;;25.0;;;286.0;10.0;165;8;
17;TO;1993;24.0;93.0;37.0;30;;;12.0;;12.0;;;81.0;3.0;27;7;
12;AC;1994;36.0;88.0;48.0;43;;;23.0;;11.0;;;77.0;5.0;41;5;
27;AL;1994;360.0;615.0;257.0;236;;;166.0;;48.0;;;567.0;24.0;384;21;
16;AP;1994;49.0;125.0;69.0;63;;;33.0;;16.0;;;109.0;4.0;53;6;
13;AM;1994;171.0;387.0;231.0;218;;;110.0;;27.0;;;359.0;13.0;184;13;
29;BA;1994;1073.0;1739.0;963.0;880;;;716.0;;180.0;;;1551.0;88.0;1164;82;
23;CE;1994;238.0;636.0;308.0;284;;;123.0;;59.0;;;573.0;21.0;260;22;
53;DF;1994;354.0;556.0;322.0;301;;;250.0;;50.0;;;505.0;33.0;387;21;
32;ES;1994;549.0;1166.0;517.0;476;;;300.0;;108.0;;;1053.0;46.0;596;41;
52;GO;1994;401.0;774.0;363.0;327;;;227.0;;93.0;;;681.0;41.0;442;36;
21;MA;1994;114.0;314.0;136.0;130;;;65.0;;24.0;;;289.0;6.0;121;6;
51;MT;1994;138.0;316.0;113.0;109;;;56.0;;20.0;;;296.0;7.0;145;4;
50;MS;1994;264.0;522.0;233.0;208;;;138.0;;48.0;;;472.0;19.0;283;24;
31;MG;1994;409.0;1118.0;525.0;448;;;256.0;;170.0;;;941.0;50.0;460;74;
15;PA;1994;377.0;716.0;362.0;333;;;217.0;;59.0;;;657.0;36.0;413;29;
25;PB;1994;172.0;385.0;204.0;193;;;98.0;;28.0;;;354.0;16.0;188;9;
41;PR;1994;650.0;1260.0;570.0;516;;;356.0;;130.0;;;1130.0;58.0;708;54;
26;PE;1994;1784.0;2593.0;1381.0;1300;;;1068.0;;191.0;;;2399.0;113.0;1897;80;
22;PI;1994;31.0;99.0;54.0;49;;;19.0;;10.0;;;89.0;1.0;32;5;
33;RJ;1994;5080.0;6420.0;3091.0;2909;;;2779.0;;491.0;;;5922.0;344.0;5430;181;
24;RN;1994;111.0;211.0;107.0;99;;;66.0;;19.0;;;191.0;6.0;117;7;
43;RS;1994;720.0;1334.0;644.0;588;;;426.0;;138.0;;;1196.0;70.0;790;56;
11;RO;1994;202.0;399.0;169.0;153;;;95.0;;37.0;;;360.0;17.0;221;16;
14;RR;1994;47.0;78.0;31.0;29;;;18.0;;6.0;;;72.0;2.0;49;2;
42;SC;1994;145.0;346.0;150.0;131;;;71.0;;45.0;;;301.0;9.0;154;19;
35;SP;1994;3868.0;9981.0;5915.0;5546;;;2645.0;;787.0;;;9194.0;259.0;4127;369;
28;SE;1994;190.0;344.0;181.0;167;;;5980.0;;32.0;;;307.0;21.0;213;14;
17;TO;1994;25.0;109.0;50.0;42;;;12.0;;13.0;;;95.0;5.0;30;8;
12;AC;1995;48.0;103.0;52.0;47;;;32.0;;16.0;;;86.0;9.0;57;5;
27;AL;1995;447.0;742.0;291.0;262;;;203.0;;62.0;;;680.0;38.0;485;29;
16;AP;1995;54.0;124.0;72.0;70;;;34.0;;11.0;;;113.0;3.0;57;2;
13;AM;1995;170.0;425.0;242.0;221;;;113.0;;42.0;;;383.0;14.0;184;21;
29;BA;1995;978.0;1536.0;783.0;723;;;604.0;;165.0;;;1360.0;79.0;1067;57;
23;CE;1995;341.0;845.0;424.0;406;;;195.0;;55.0;;;790.0;18.0;359;18;
53;DF;1995;417.0;629.0;358.0;329;;;288.0;;57.0;;;572.0;27.0;444;29;
32;ES;1995;557.0;1154.0;569.0;512;;;347.0;;123.0;;;1031.0;53.0;610;57;
52;GO;1995;376.0;784.0;345.0;291;;;208.0;;129.0;;;652.0;61.0;439;54;
21;MA;1995;152.0;385.0;173.0;154;;;79.0;;40.0;;;344.0;10.0;163;19;
51;MT;1995;297.0;583.0;214.0;181;;;112.0;;66.0;;;516.0;25.0;322;33;
50;MS;1995;388.0;636.0;283.0;264;;;208.0;;51.0;;;582.0;22.0;411;18;
31;MG;1995;558.0;1214.0;566.0;511;;;325.0;;145.0;;;1057.0;46.0;607;52;
15;PA;1995;362.0;700.0;321.0;300;;;183.0;;59.0;;;641.0;25.0;387;21;
25;PB;1995;210.0;457.0;235.0;198;;;131.0;;66.0;;;391.0;29.0;239;37;
41;PR;1995;748.0;1387.0;666.0;595;;;445.0;;163.0;;;1223.0;79.0;827;71;
26;PE;1995;1942.0;2706.0;1372.0;1274;;;1127.0;;205.0;;;2498.0;128.0;2073;96;
22;PI;1995;40.0;114.0;53.0;44;;;28.0;;19.0;;;95.0;7.0;47;9;
33;RJ;1995;6240.0;8218.0;4129.0;3914;;;3567.0;;587.0;;;7617.0;408.0;6659;214;
24;RN;1995;127.0;247.0;106.0;97;;;66.0;;30.0;;;217.0;15.0;142;9;
43;RS;1995;884.0;1439.0;668.0;604;;;494.0;;151.0;;;1288.0;89.0;973;64;
11;RO;1995;147.0;330.0;132.0;122;;;79.0;;37.0;;;292.0;12.0;160;10;
14;RR;1995;49.0;87.0;46.0;41;;;28.0;;8.0;;;79.0;1.0;50;5;
42;SC;1995;197.0;420.0;175.0;155;;;94.0;;48.0;;;372.0;21.0;218;20;
35;SP;1995;4791.0;11555.0;6486.0;6030;;;3094.0;;959.0;;;10596.0;368.0;5159;456;
28;SE;1995;121.0;255.0;124.0;113;;;7333.0;;27.0;;;227.0;10.0;132;11;
17;TO;1995;32.0;77.0;39.0;35;;;15.0;;5.0;;;72.0;3.0;35;4;
12;AC;1996;56.0;104.0;49.0;42;0.0;1.0;28.0;0.0;15.0;1.0;0.0;89.0;5.0;61;7;0.0
27;AL;1996;472.0;741.0;327.0;295;0.0;0.0;233.0;0.0;70.0;0.0;0.0;671.0;43.0;515;32;0.0
16;AP;1996;80.0;157.0;91.0;80;0.0;0.0;54.0;0.0;16.0;0.0;0.0;141.0;9.0;89;11;0.0
13;AM;1996;204.0;450.0;261.0;245;0.0;0.0;132.0;0.0;33.0;0.0;0.0;417.0;16.0;220;16;0.0
29;BA;1996;1368.0;1883.0;1001.0;918;0.0;0.0;854.0;0.0;176.0;0.0;0.0;1707.0;120.0;1488;83;0.0
23;CE;1996;320.0;885.0;443.0;405;0.0;0.0;192.0;0.0;84.0;0.0;0.0;793.0;29.0;351;36;0.0
53;DF;1996;402.0;615.0;335.0;308;0.0;0.0;268.0;0.0;52.0;0.0;0.0;562.0;32.0;435;27;0.0
32;ES;1996;597.0;1191.0;573.0;518;0.0;0.0;351.0;0.0;123.0;0.0;0.0;1067.0;63.0;661;54;0.0
52;GO;1996;403.0;782.0;346.0;291;0.0;0.0;223.0;0.0;119.0;0.0;0.0;663.0;66.0;469;55;0.0
21;MA;1996;174.0;363.0;162.0;148;0.0;0.0;88.0;0.0;31.0;0.0;0.0;330.0;12.0;187;14;0.0
51;MT;1996;386.0;660.0;269.0;229;0.0;0.0;196.0;0.0;87.0;0.0;0.0;568.0;38.0;427;39;0.0
50;MS;1996;418.0;722.0;318.0;285;0.0;0.0;223.0;0.0;79.0;0.0;0.0;642.0;49.0;468;33;0.0
31;MG;1996;559.0;1261.0;579.0;501;0.0;2.0;336.0;0.0;185.0;2.0;0.0;1075.0;87.0;647;77;0.0
15;PA;1996;318.0;700.0;348.0;310;0.0;1.0;174.0;0.0;78.0;1.0;0.0;622.0;31.0;349;38;0.0
25;PB;1996;234.0;636.0;302.0;259;0.0;0.0;148.0;0.0;106.0;0.0;0.0;530.0;41.0;275;43;0.0
41;PR;1996;714.0;1379.0;676.0;599;0.0;0.0;438.0;0.0;154.0;0.0;0.0;1225.0;73.0;787;77;0.0
26;PE;1996;2172.0;3022.0;1529.0;1442;0.0;1.0;1272.0;0.0;245.0;1.0;0.0;2773.0;150.0;2325;84;0.0
22;PI;1996;38.0;117.0;50.0;48;0.0;0.0;20.0;0.0;14.0;0.0;0.0;102.0;2.0;40;2;0.0
33;RJ;1996;5581.0;8034.0;3998.0;3747;0.0;1.0;3157.0;0.0;651.0;1.0;0.0;7369.0;428.0;6017;248;0.0
24;RN;1996;131.0;241.0;113.0;98;0.0;0.0;69.0;0.0;35.0;0.0;0.0;206.0;12.0;143;15;0.0
43;RS;1996;886.0;1482.0;677.0;593;0.0;0.0;492.0;0.0;192.0;0.0;0.0;1290.0;111.0;997;84;0.0
11;RO;1996;171.0;301.0;105.0;89;0.0;0.0;69.0;0.0;43.0;0.0;0.0;256.0;24.0;196;16;0.0
14;RR;1996;45.0;107.0;51.0;42;0.0;0.0;22.0;0.0;18.0;0.0;0.0;89.0;5.0;50;9;0.0
42;SC;1996;187.0;412.0;182.0;154;0.0;1.0;108.0;0.0;67.0;1.0;0.0;345.0;26.0;213;28;0.0
35;SP;1996;5022.0;12320.0;6808.0;6377;143.0;1553.0;3173.0;359.0;959.0;1696.0;24.0;11361.0;343.0;5365;431;335.0
28;SE;1996;137.0;238.0;121.0;108;0.0;0.0;7017.0;0.0;30.0;0.0;0.0;207.0;14.0;152;13;0.0
17;TO;1996;43.0;126.0;53.0;48;0.0;0.0;23.0;0.0;21.0;0.0;0.0;105.0;6.0;49;5;0.0
21;MA;1997;127.0;333.0;149.0;132;8.0;33.0;71.0;189.0;46.0;41.0;18.0;285.0;19.0;148;17;170.0
17;TO;1997;46.0;112.0;47.0;40;3.0;21.0;26.0;33.0;19.0;24.0;4.0;93.0;4.0;50;7;29.0
28;SE;1997;109.0;190.0;106.0;97;3.0;14.0;7600.0;50.0;18.0;17.0;3.0;172.0;8.0;117;9;47.0
35;SP;1997;4973.0;12537.0;7036.0;6534;274.0;2671.0;3274.0;2206.0;1028.0;2945.0;151.0;11509.0;404.0;5377;502;2055.0
42;SC;1997;205.0;423.0;173.0;156;12.0;111.0;97.0;11.0;51.0;123.0;1.0;372.0;20.0;225;17;10.0
14;RR;1997;37.0;90.0;42.0;37;1.0;5.0;23.0;15.0;10.0;6.0;2.0;80.0;3.0;40;5;13.0
11;RO;1997;186.0;355.0;154.0;137;8.0;32.0;92.0;51.0;33.0;40.0;4.0;322.0;20.0;206;17;47.0
43;RS;1997;1029.0;1648.0;765.0;694;144.0;1081.0;580.0;255.0;190.0;1225.0;23.0;1458.0;118.0;1147;71;232.0
24;RN;1997;139.0;235.0;124.0;114;12.0;54.0;89.0;128.0;27.0;66.0;10.0;208.0;14.0;153;10;118.0
33;RJ;1997;5746.0;7954.0;4144.0;3901;250.0;2217.0;3413.0;4238.0;646.0;2468.0;294.0;7298.0;408.0;6161;243;3940.0
22;PI;1997;42.0;142.0;72.0;68;3.0;13.0;19.0;84.0;13.0;16.0;8.0;129.0;4.0;46;4;76.0
26;PE;1997;2850.0;3713.0;2057.0;1954;33.0;313.0;1779.0;624.0;243.0;347.0;37.0;3463.0;145.0;3000;98;586.0
41;PR;1997;832.0;1581.0;718.0;651;36.0;328.0;463.0;70.0;157.0;364.0;4.0;1424.0;64.0;896;67;66.0
25;PB;1997;299.0;492.0;247.0;225;1.0;26.0;166.0;75.0;42.0;27.0;8.0;449.0;27.0;327;21;67.0
15;PA;1997;371.0;754.0;386.0;359;2.0;28.0;211.0;260.0;76.0;30.0;23.0;678.0;36.0;407;27;237.0
31;MG;1997;656.0;1347.0;601.0;532;49.0;262.0;387.0;579.0;179.0;311.0;60.0;1168.0;72.0;728;69;519.0
50;MS;1997;453.0;729.0;307.0;285;0.0;3.0;232.0;1.0;71.0;3.0;0.0;652.0;38.0;495;22;1.0
51;MT;1997;398.0;766.0;302.0;268;21.0;91.0;189.0;235.0;88.0;113.0;23.0;673.0;36.0;437;34;212.0
52;GO;1997;387.0;744.0;327.0;293;13.0;68.0;207.0;137.0;94.0;81.0;16.0;646.0;42.0;431;32;121.0
32;ES;1997;887.0;1416.0;725.0;667;16.0;105.0;526.0;283.0;128.0;121.0;20.0;1287.0;67.0;955;58;262.0
53;DF;1997;402.0;613.0;349.0;328;10.0;73.0;282.0;419.0;48.0;83.0;31.0;565.0;30.0;432;21;388.0
23;CE;1997;417.0;1026.0;495.0;462;7.0;55.0;250.0;298.0;85.0;62.0;20.0;941.0;31.0;448;33;278.0
29;BA;1997;1328.0;1981.0;1093.0;1013;4.0;14.0;850.0;131.0;175.0;18.0;11.0;1805.0;98.0;1426;80;120.0
13;AM;1997;187.0;468.0;277.0;257;4.0;36.0;124.0;380.0;33.0;40.0;25.0;433.0;13.0;202;19;353.0
16;AP;1997;51.0;140.0;85.0;80;2.0;13.0;31.0;80.0;12.0;15.0;7.0;128.0;6.0;57;5;73.0
27;AL;1997;436.0;642.0;258.0;225;4.0;43.0;196.0;132.0;62.0;47.0;8.0;580.0;43.0;479;33;124.0
12;AC;1997;49.0;100.0;59.0;55;0.0;7.0;37.0;6.0;14.0;7.0;3.0;86.0;6.0;55;4;3.0
22;PI;1998;35.0;140.0;74.0;66;5.0;15.0;23.0;90.0;20.0;20.0;12.0;119.0;4.0;40;8;78.0
17;TO;1998;65.0;129.0;51.0;41;4.0;33.0;30.0;65.0;19.0;37.0;12.0;110.0;13.0;78;10;53.0
